STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,na_item,National accounts indicator (ESA 2010),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",CY,Cyprus,2019,,26110,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",CY,Cyprus,2020,,24630,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",CY,Cyprus,2021,,27850,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",CY,Cyprus,2022,,31310,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",CY,Cyprus,2023,,32720,,p,provisional,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",CY,Cyprus,2024,,34340,,p,provisional,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",CZ,Czechia,2013,,15280,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",CZ,Czechia,2014,,15140,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",CZ,Czechia,2015,,16230,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",CZ,Czechia,2016,,17040,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",CZ,Czechia,2017,,18700,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",CZ,Czechia,2018,,20270,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",CZ,Czechia,2019,,21740,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",CZ,Czechia,2020,,20980,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",CZ,Czechia,2021,,23430,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",CZ,Czechia,2022,,26670,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",CZ,Czechia,2023,,29180,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",CZ,Czechia,2024,,29280,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DE,Germany,2013,,35550,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DE,Germany,2014,,36860,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DE,Germany,2015,,37770,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DE,Germany,2016,,38810,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DE,Germany,2017,,40300,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DE,Germany,2018,,41390,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DE,Germany,2019,,42540,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DE,Germany,2020,,41480,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DE,Germany,2021,,44190,,p,provisional,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DE,Germany,2022,,47180,,p,provisional,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DE,Germany,2023,,49520,,p,provisional,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DE,Germany,2024,,50820,,p,provisional,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DK,Denmark,2013,,46240,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DK,Denmark,2014,,47070,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DK,Denmark,2015,,47900,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DK,Denmark,2016,,49270,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DK,Denmark,2017,,51060,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DK,Denmark,2018,,51950,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DK,Denmark,2019,,53040,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DK,Denmark,2020,,53540,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DK,Denmark,2021,,58970,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DK,Denmark,2022,,64730,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DK,Denmark,2023,,63290,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",DK,Denmark,2024,,66230,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EE,Estonia,2013,,14520,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EE,Estonia,2014,,15480,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EE,Estonia,2015,,16000,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EE,Estonia,2016,,16860,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EE,Estonia,2017,,18480,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EE,Estonia,2018,,20040,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EE,Estonia,2019,,21490,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EE,Estonia,2020,,20960,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EE,Estonia,2021,,23650,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EE,Estonia,2022,,27360,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EE,Estonia,2023,,27960,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EE,Estonia,2024,,28740,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EL,Greece,2013,,16240,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EL,Greece,2014,,16160,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EL,Greece,2015,,16210,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EL,Greece,2016,,16190,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EL,Greece,2017,,16490,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EL,Greece,2018,,16830,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EL,Greece,2019,,17270,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EL,Greece,2020,,15660,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EL,Greece,2021,,17350,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EL,Greece,2022,,19650,,p,provisional,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EL,Greece,2023,,21350,,p,provisional,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",EL,Greece,2024,,22560,,p,provisional,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",ES,Spain,2013,,22020,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",ES,Spain,2014,,22380,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",ES,Spain,2015,,23440,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",ES,Spain,2016,,24190,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",ES,Spain,2017,,25160,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",ES,Spain,2018,,25950,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",ES,Spain,2019,,26620,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",ES,Spain,2020,,23850,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",ES,Spain,2021,,26090,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",ES,Spain,2022,,28750,,p,provisional,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",ES,Spain,2023,,30970,,p,provisional,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",ES,Spain,2024,,32630,,p,provisional,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",FI,Finland,2013,,37410,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",FI,Finland,2014,,37690,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",FI,Finland,2015,,38350,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",FI,Finland,2016,,39250,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",FI,Finland,2017,,40790,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",FI,Finland,2018,,42040,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",FI,Finland,2019,,43200,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",FI,Finland,2020,,42740,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",FI,Finland,2021,,44890,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",FI,Finland,2022,,47890,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",FI,Finland,2023,,48910,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",FI,Finland,2024,,49320,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",FR,France,2013,,32280,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",FR,France,2014,,32620,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",FR,France,2015,,33200,,,,,
dataflow,ESTAT:TEC00001(1.0),Gross domestic product at market prices,A,Annual,B1GQ,Gross domestic product at market prices,CP_EUR_HAB,"Current prices, euro per capita",FR,France,2016,,33530,,,,,
